frame_number,person_count,end_frame,duration_frames,snapshot
20,3,33,14,"=HYPERLINK(""crowd_snapshots/crowd_60.jpg"", ""crowd_60.jpg"")"
33,4,42,10,"=HYPERLINK(""crowd_snapshots/crowd_72.jpg"", ""crowd_72.jpg"")"
45,3,54,10,"=HYPERLINK(""crowd_snapshots/crowd_60.jpg"", ""crowd_60.jpg"")"
52,6,66,15,"=HYPERLINK(""crowd_snapshots/crowd_97.jpg"", ""crowd_97.jpg"")"
67,4,76,10,"=HYPERLINK(""crowd_snapshots/crowd_15.jpg"", ""crowd_15.jpg"")"
145,7,156,12,"=HYPERLINK(""crowd_snapshots/crowd_250.jpg"", ""crowd_250.jpg"")"
165,3,185,21,"=HYPERLINK(""crowd_snapshots/crowd_185.jpg"", ""crowd_185.jpg"")"
187,3,199,13,"=HYPERLINK(""crowd_snapshots/crowd_300.jpg"", ""crowd_300.jpg"")"
202,3,211,10,"=HYPERLINK(""crowd_snapshots/crowd_329.jpg"", ""crowd_329.jpg"")"
202,4,212,11,"=HYPERLINK(""crowd_snapshots/crowd_327.jpg"", ""crowd_327.jpg"")"
209,8,223,15,"=HYPERLINK(""crowd_snapshots/crowd_335.jpg"", ""crowd_335.jpg"")"
217,5,228,12,"=HYPERLINK(""crowd_snapshots/crowd_345.jpg"", ""crowd_345.jpg"")"
230,5,239,10,"=HYPERLINK(""crowd_snapshots/crowd_345.jpg"", ""crowd_345.jpg"")"
257,3,271,15,"=HYPERLINK(""crowd_snapshots/crowd_340.jpg"", ""crowd_340.jpg"")"
273,3,285,13,"=HYPERLINK(""crowd_snapshots/crowd_340.jpg"", ""crowd_340.jpg"")"
297,5,306,10,"=HYPERLINK(""crowd_snapshots/crowd_427.jpg"", ""crowd_427.jpg"")"
308,4,317,10,"=HYPERLINK(""crowd_snapshots/crowd_440.jpg"", ""crowd_440.jpg"")"
326,5,337,12,"=HYPERLINK(""crowd_snapshots/crowd_317.jpg"", ""crowd_317.jpg"")"
